"iso","adm1","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"KEN",1,2001,169.63208815079114849,88464.581506322532468
"KEN",2,2001,475.09138429180944518,242636.85061903019472
"KEN",3,2001,1033.01652316596429859,550669.59854734325613
"KEN",4,2001,261.0212706254148225,41672.33918160209964
"KEN",5,2001,290.25125417221085845,159120.13682344099773
"KEN",6,2001,140.00807963622533708,38534.699728761767073
"KEN",7,2001,95.66873853903895191,21402.742655628221567
"KEN",8,2001,296.86483793797353048,29853.481300049871148
"KEN",10,2001,115.00862689735552125,52432.774645131329603
"KEN",11,2001,333.95429705428395800,95695.98413170474640
"KEN",12,2001,204.09641489647658327,111651.696346370311945
"KEN",13,2001,1736.46571817678390365,886904.94584625869228
"KEN",14,2001,355.08821956586605032,95834.07734019450036
"KEN",15,2001,14.77036933348891564,6580.548788831105963
"KEN",16,2001,251.38908159480205128,127231.72642213625504
"KEN",17,2001,57.77532624675298938,17899.142245437484485
"KEN",18,2001,96.29556959002906979,21378.068879939074973
"KEN",19,2001,641.84516363302400906,211191.565382426241465
"KEN",20,2001,244.33379112457600889,135724.004593780938462
"KEN",21,2001,634.61403169745270211,167080.327908538913494
"KEN",22,2001,297.90530489183002808,93363.728046600952655
"KEN",23,2001,233.96188643030320029,58221.527389649146515
"KEN",25,2001,1.53701304283108207,500.74016786778361
"KEN",26,2001,51.08253495056799491,21834.042907861302884
"KEN",27,2001,150.4581680984760438,38106.160529455131306
"KEN",28,2001,52.64798944167365469,16847.586476183196593
"KEN",29,2001,567.08669040789844152,278280.006029484522437
"KEN",30,2001,130.36680296383067769,72622.726853068976665
"KEN",31,2001,1931.23559243991386279,1064840.772367711694786
"KEN",32,2001,1010.5691307875258940,608408.80999479313177
"KEN",33,2001,4564.42170346591511506,2402159.752745016890073
"KEN",34,2001,92.8508095531675310,49520.0766958351801
"KEN",35,2001,384.80120412946121243,209735.720824272641339
"KEN",36,2001,251.56048199805367907,123839.619250960657362
"KEN",37,2001,8.61416715906382300,3336.65751749599884
"KEN",38,2001,116.8589700844043048,27861.05771737272182
"KEN",39,2001,100.33683386493249235,23386.51362351217691
"KEN",40,2001,351.10635240027532567,103702.349057020197215
"KEN",41,2001,19.30964830959202738,4962.605232864894806
"KEN",42,2001,461.66476360344179118,277740.47881057622271
"KEN",43,2001,0.84455422708699546,199.860669184284107
"KEN",44,2001,587.82233321996603691,331187.89456503777748
"KEN",45,2001,58.31408769847772650,29782.163866960158006
"KEN",47,2001,154.66323938876275294,70655.51013640399715
"KEN",1,2002,461.35484196188112918,241816.273012785952562
"KEN",2,2002,603.34664368156097582,331402.39674490021772
"KEN",3,2002,419.47658153832008427,228355.535212376383818
"KEN",4,2002,89.77713651305130486,13892.28089197310530
"KEN",5,2002,1707.82075171535973466,970807.880104770636624
"KEN",6,2002,24.46289805126369500,6920.963877635627530
"KEN",7,2002,53.14082477824274724,13305.492315064696036
"KEN",8,2002,62.00434506597709161,3219.62272615491848
"KEN",10,2002,14.68533428788669352,4105.0845460055144123
"KEN",11,2002,121.54954197485455571,39348.815559683571942
"KEN",12,2002,423.96437677259599535,228208.12761320451908
"KEN",13,2002,43.22792388522280930,18624.269711568770832
"KEN",14,2002,830.32381862456883328,202383.119026738868026
"KEN",15,2002,17.46303189613507868,9046.287172989426729
"KEN",16,2002,7.76936065416374888,3389.15902266396817
"KEN",17,2002,122.16673860599994837,38836.80466801501694
"KEN",18,2002,44.60939939895215417,9576.925871109118326
"KEN",19,2002,683.66929262154522329,222964.701614483246552
"KEN",20,2002,143.4761706925807871,77446.32639295885270
"KEN",21,2002,541.29031672173461225,146835.314075871328712
"KEN",22,2002,25.91733481888463716,6958.421615498097765
"KEN",23,2002,66.20653535054483819,16585.381953237380316
"KEN",25,2002,0.92229091893568262,227.11985988113324
"KEN",26,2002,94.31808917736278318,40940.300209440888677
"KEN",27,2002,40.92196373737244101,7356.276893139738390
"KEN",28,2002,49.5043948945693353,17745.882356200659276
"KEN",29,2002,82.53795695758978425,31978.597292297167038
"KEN",30,2002,1.38444541771572535,431.582676868774219
"KEN",31,2002,4990.26079235722779568,2803015.643499149105406
"KEN",32,2002,604.29567791892232876,337112.59517515613949
"KEN",33,2002,4424.05488850068538226,2347675.662365314121160
"KEN",34,2002,80.3886994083067684,43398.99080365471882
"KEN",35,2002,216.25284771495030685,116972.913106988532050
"KEN",36,2002,76.85338029805727791,38041.454930083181634
"KEN",37,2002,17.84349609936835242,7021.184124023933118
"KEN",38,2002,37.08097473757640034,8403.788247649390447
"KEN",39,2002,13.89623954843533050,2978.482090337724936
"KEN",40,2002,307.21478114106602648,94100.581935196039449
"KEN",41,2002,16.84789324752025188,4530.886458677403731
"KEN",42,2002,212.14404929655329783,111730.601470541057034
"KEN",43,2002,4.1484897059624567,1410.045810305491983
"KEN",44,2002,2092.50980080215854251,1165540.882018390125883
"KEN",45,2002,3.84657796432561139,1814.67463894253798
"KEN",47,2002,412.59529053959069102,173616.128767874731943
"KEN",1,2003,233.09980103308724538,125996.432275026047507
"KEN",2,2003,573.96106120503286629,324814.020290294963746
"KEN",3,2003,332.85433806348132864,178584.200794801287237
"KEN",4,2003,90.08426089222228402,19030.31255233597974
"KEN",5,2003,525.80007616348402014,285887.033825448772992
"KEN",6,2003,310.47990107432560126,92275.574274912232910
"KEN",7,2003,40.8355699063020921,9390.568283492678999
"KEN",8,2003,44.00289099985367345,5435.94283236965994
"KEN",10,2003,23.52621854978379957,7515.52374292494175
"KEN",11,2003,187.55613597839559228,54278.596662395132576
"KEN",12,2003,317.7970363905725352,183313.30320955626082
"KEN",13,2003,121.99485761253181337,62820.20204284249541
"KEN",14,2003,592.44574675744416097,155862.299894376520459
"KEN",15,2003,142.70491039031314829,78812.677100503009816
"KEN",16,2003,10.38476955490692230,4477.96380305485852
"KEN",17,2003,145.16910974345271228,36919.064391267818917
"KEN",18,2003,79.05305704329609031,15164.7936042104635633
"KEN",19,2003,496.13498198076604155,165455.953697860120924
"KEN",20,2003,603.29044774570277142,302223.932622775186676
"KEN",21,2003,706.24398346844494273,194523.286520433732935
"KEN",22,2003,31.14973320702018256,9804.869908614421033
"KEN",23,2003,211.73626556361042926,43267.086224134012231
"KEN",26,2003,186.55898503686271768,79041.798582828358854
"KEN",27,2003,18.53783405105835282,4134.102024192054415
"KEN",28,2003,148.27850803762383904,53138.022804375548624
"KEN",29,2003,239.00818459537890264,129242.445602294833926
"KEN",30,2003,3.4611244636606175,1406.24444064200194
"KEN",31,2003,833.06705625864240226,439125.06376123317928
"KEN",32,2003,930.56204812069880558,542213.298257465856325
"KEN",33,2003,1060.35671191244597856,503280.440804907097335
"KEN",34,2003,65.1571893516340089,36253.8457167399252
"KEN",35,2003,665.74662132229884451,359853.116619420748045
"KEN",36,2003,511.74193720384944992,268579.919555618843056
"KEN",37,2003,26.22738037337690923,10145.611343905629938
"KEN",38,2003,94.31810523196665297,19653.35024555814270
"KEN",39,2003,13.97680463753187764,4127.422606448946996
"KEN",40,2003,150.57318854655701356,50249.763060738926931
"KEN",41,2003,86.39326654561087931,37910.101977059497732
"KEN",42,2003,1038.32624884053313667,587077.84806337144267
"KEN",43,2003,6.76357327426018574,1778.7607147131938306
"KEN",44,2003,872.69950055953778493,485599.99110053126023
"KEN",45,2003,34.15759670654882919,16834.65942488020453
"KEN",47,2003,746.59373859214163787,341552.00818627714509
"KEN",1,2004,588.66624026714983182,304390.557540805764684
"KEN",2,2004,587.96301738366036928,348631.833061438886650
"KEN",3,2004,78.77294590764795307,22513.31529757289978
"KEN",4,2004,77.31383713616225056,18522.423215336310893
"KEN",5,2004,1056.99144508321438590,510397.41403808204444
"KEN",6,2004,65.46459218685530490,16783.332532215487089
"KEN",7,2004,40.83555658690781637,9229.017993768993841
